city,coordinates
городской посёлок Янино-1,"(59.948429, 30.563255)"
посёлок Мурино,"(60.051284, 30.438578)"
Сертолово,"(60.143531, 30.217179)"
деревня Кудрово,"(59.908489, 30.513578)"
Коммунар,"(59.621609, 30.393483)"
поселок городского типа Красный Бор,"(59.680974, 30.674673)"
Гатчина,"(59.56841, 30.122892)"
поселок Мурино,"(60.051284, 30.438578)"
деревня Фёдоровское,"(56.117486, 38.852334)"
Выборг,"(60.710496, 28.749781)"
Кировск,"(59.87533, 30.981457)"
деревня Новое Девяткино,"(60.057325, 30.47637)"
Санкт-Петербург,"(59.938784, 30.314997)"
посёлок городского типа Лебяжье,"(57.413626, 49.528739)"
посёлок городского типа Сиверский,"(59.354888, 30.067071)"
поселок Молодцово,"(59.826216, 31.10219)"
поселок городского типа Кузьмоловский,"(60.109455, 30.495073)"
садовое товарищество Новая Ропша,"(59.75694, 29.865237)"
деревня Пикколово,"(59.699726, 30.137705)"
Всеволожск,"(60.024626, 30.645873)"
Волхов,"(59.900543, 32.352681)"
Кингисепп,"(59.378053, 28.601209)"
Приозерск,"(61.035979, 30.115589)"
деревня Куттузи,"(59.756025, 30.066954)"
посёлок Аннино,"(59.771581, 30.052132)"
поселок городского типа Ефимовский,"(59.497578, 34.670757)"
посёлок Плодовое,"(60.838934, 30.151494)"
деревня Заклинье,"(58.725836, 29.898529)"
поселок Торковичи,"(58.855706, 30.344857)"
поселок Первомайское,"(60.358241, 29.738269)"
Сясьстрой,"(60.137057, 32.561279)"
деревня Старая,"(46.125839, 38.965809)"
деревня Лесколово,"(60.271793, 30.463641)"
посёлок Новый Свет,"(59.557665, 30.19606)"
Сланцы,"(59.11779, 28.088145)"
село Путилово,"(59.870614, 31.455911)"
Ивангород,"(59.37649, 28.219712)"
Мурино,"(60.051284, 30.438578)"
Шлиссельбург,"(59.944959, 31.034754)"
Никольское,"(59.704574, 30.78681)"
Сосновый Бор,"(59.904225, 29.092264)"
поселок Новый Свет,"(59.557665, 30.19606)"
деревня Оржицы,"(59.752553, 29.71185)"
деревня Кальтино,"(59.979889, 30.659258)"
Кудрово,"(59.908489, 30.513578)"
поселок Романовка,"(60.045682, 30.701461)"
посёлок Бугры,"(60.068722, 30.393806)"
поселок Бугры,"(60.068722, 30.393806)"
поселок городского типа Рощино,"(60.256511, 29.6031)"
Кириши,"(59.449695, 32.008716)"
Луга,"(58.735207, 29.847945)"
Волосово,"(59.447275, 29.484819)"
Отрадное,"(59.77409, 30.794553)"
село Павлово,"(58.999515, 80.915399)"
поселок Оредеж,"(58.816134, 30.333942)"
село Копорье,"(59.704234, 29.048732)"
посёлок городского типа Красный Бор,"(59.680974, 30.674673)"
Тихвин,"(59.644213, 33.542105)"
посёлок Победа,"(60.352206, 29.440083)"
деревня Нурма,"(59.557825, 31.020803)"
поселок городского типа Синявино,"(59.907816, 31.0726)"
посёлок Шушары,"(59.807224, 30.379523)"
Тосно,"(59.541179, 30.875006)"
посёлок городского типа Кузьмоловский,"(60.109455, 30.495073)"
Бокситогорск,"(59.473576, 33.847675)"
деревня Лопухинка,"(59.730343, 29.411507)"
Пикалёво,"(59.512684, 34.177483)"
поселок Терволово,"(59.66808, 29.898134)"
поселок городского типа Советский,"(56.76086, 48.479309)"
Подпорожье,"(60.912097, 34.167952)"
посёлок Петровское,"(57.013851, 39.263349)"
посёлок городского типа Токсово,"(60.149716, 30.512231)"
поселок Сельцо,"(59.626814, 29.535816)"
посёлок городского типа Вырица,"(59.413893, 30.347228)"
деревня Кипень,"(59.684672, 29.851008)"
деревня Келози,"(59.660408, 29.830203)"
деревня Вартемяги,"(60.18192, 30.322426)"
посёлок Тельмана,"(40.686336, 72.861427)"
поселок Севастьяново,"(61.055393, 29.793085)"
городской поселок Большая Ижора,"(59.945657, 29.569368)"
городской посёлок Павлово,"(59.80826, 30.879282)"
деревня Агалатово,"(60.215465, 30.304927)"
посёлок Новогорелово,"(59.79048, 30.166236)"
городской посёлок Лесогорский,"(61.090656, 28.905298)"
деревня Лаголово,"(59.705341, 30.02096)"
поселок Цвелодубово,"(60.387576, 29.559496)"
поселок городского типа Рахья,"(60.090737, 30.83893)"
поселок городского типа Вырица,"(59.413893, 30.347228)"
деревня Белогорка,"(59.348938, 30.133528)"
поселок Заводской,"(43.099509, 44.649665)"
городской посёлок Новоселье,"(59.809048, 30.077563)"
деревня Большие Колпаны,"(59.52594, 30.072074)"
деревня Горбунки,"(59.816789, 29.980743)"
деревня Батово,"(59.318935, 29.900047)"
деревня Заневка,"(59.93735, 30.51427)"
деревня Иссад,"(60.060774, 32.349834)"
Приморск,"(60.366014, 28.613561)"
городской посёлок Фёдоровское,"(59.663731, 30.531167)"
деревня Мистолово,"(60.119359, 30.407101)"
Новая Ладога,"(60.106401, 32.316183)"
поселок Зимитицы,"(59.549517, 29.117147)"
поселок Барышево,"(60.692386, 29.591583)"
деревня Разметелево,"(59.904347, 30.673308)"
поселок городского типа имени Свердлова,"(59.798149, 30.636603)"
деревня Пеники,"(59.91683, 29.642042)"
поселок Рябово,"(60.338124, 28.990898)"
деревня Пудомяги,"(59.603838, 30.332235)"
поселок станции Корнево,"(60.053831, 30.743394)"
деревня Низино,"(59.833312, 29.87564)"
деревня Бегуницы,"(59.58506, 29.30494)"
посёлок Поляны,"(60.320985, 29.255892)"
городской посёлок Мга,"(59.757611, 31.061784)"
поселок Елизаветино,"(55.727607, 38.508135)"
посёлок городского типа Кузнечное,"(61.124369, 29.880455)"
деревня Колтуши,"(59.932996, 30.655306)"
поселок Запорожское,"(60.572381, 30.514378)"
посёлок городского типа Рощино,"(60.256511, 29.6031)"
деревня Гостилицы,"(59.746328, 29.624731)"
деревня Малое Карлино,"(59.723443, 30.268275)"
посёлок Мичуринское,"(60.564878, 29.871876)"
посёлок городского типа имени Морозова,"(59.974581, 31.034969)"
посёлок Сосново,"(60.557705, 30.253624)"
деревня Аро,"(59.927112, 30.65535)"
поселок Ильичёво,"(60.26808, 29.751591)"
посёлок городского типа Тайцы,"(59.662913, 30.113873)"
деревня Малое Верево,"(59.613057, 30.166631)"
деревня Извара,"(59.353214, 29.524048)"
поселок станции Вещево,"(60.683858, 29.208165)"
село Паша,"(60.393214, 33.018306)"
деревня Калитино,"(59.406021, 29.632466)"
посёлок городского типа Ульяновка,"(59.636168, 30.757929)"
деревня Чудской Бор,"(59.351264, 31.417697)"
поселок городского типа Дубровка,"(53.690163, 33.504887)"
деревня Мины,"(59.422244, 30.397372)"
поселок Войсковицы,"(59.521358, 29.968552)"
посёлок городского типа имени Свердлова,"(59.798149, 30.636603)"
деревня Коркино,"(59.930507, 30.717873)"
посёлок Ропша,"(59.729413, 29.86239)"
поселок городского типа Приладожский,"(59.876391, 31.328189)"
посёлок Щеглово,"(60.027476, 30.753518)"
посёлок Гаврилово,"(60.590917, 29.040413)"
Лодейное Поле,"(60.734547, 33.545886)"
деревня Рабитицы,"(59.405059, 29.38825)"
поселок городского типа Никольский,"(60.917232, 34.069065)"
деревня Кузьмолово,"(60.122286, 30.499358)"
деревня Малые Колпаны,"(59.541371, 30.082297)"
поселок Тельмана,"(40.686336, 72.861427)"
городской посёлок Назия,"(59.842377, 31.58684)"
посёлок Ильичёво,"(60.26808, 29.751591)"
поселок Углово,"(60.06918, 30.737708)"
поселок Старая Малукса,"(59.637623, 31.370508)"
садовое товарищество Рахья,"(60.099835, 30.874593)"
поселок Аннино,"(59.771581, 30.052132)"
поселок Победа,"(60.352206, 29.440083)"
деревня Меньково,"(59.425032, 30.031902)"
деревня Старые Бегуницы,"(59.591679, 29.324784)"
поселок Семрино,"(59.541503, 30.388847)"
поселок Гаврилово,"(60.590917, 29.040413)"
поселок Глажево,"(59.652266, 32.117116)"
поселок Кобринское,"(59.426286, 30.121886)"
деревня Гарболово,"(60.340693, 30.496052)"
деревня Юкки,"(60.110755, 30.283538)"
поселок станции Приветнинское,"(60.163924, 29.421335)"
деревня Мануйлово,"(59.376265, 28.855459)"
деревня Пчева,"(59.565835, 32.107181)"
поселок Поляны,"(60.320985, 29.255892)"
поселок Цвылёво,"(59.65443, 33.207401)"
поселок Мельниково,"(60.922527, 29.76167)"
посёлок Пудость,"(59.616298, 30.041693)"
посёлок Усть-Луга,"(59.657676, 28.26664)"
Светогорск,"(61.113731, 28.865879)"
Любань,"(52.793028, 27.99057)"
поселок Селезнёво,"(60.756756, 28.619328)"
поселок городского типа Рябово,"(59.418549, 31.130892)"
Каменногорск,"(60.95081, 29.130882)"
деревня Кривко,"(60.58333, 30.258115)"
поселок Глебычево,"(60.453845, 28.719194)"
деревня Парицы,"(59.53627, 30.038325)"
поселок Жилпосёлок,"(51.828342, 55.130408)"
посёлок городского типа Мга,"(59.757611, 31.061784)"
городской поселок Янино-1,"(59.948429, 30.563255)"
посёлок Войскорово,"(59.690008, 30.561243)"
село Никольское,"(43.797247, 131.952122)"
посёлок Терволово,"(59.66808, 29.898134)"
поселок Стеклянный,"(60.385144, 30.238891)"
посёлок городского типа Важины,"(60.96301, 34.025722)"
посёлок Мыза-Ивановка,"(59.60743, 30.079297)"
село Русско-Высоцкое,"(59.697342, 29.94198)"
поселок городского типа Лебяжье,"(57.413626, 49.528739)"
поселок городского типа Форносово,"(59.569144, 30.551074)"
Красное Село,"(59.733745, 30.086205)"
село Старая Ладога,"(59.998936, 32.2958)"
поселок Житково,"(60.690994, 29.329635)"
городской посёлок Виллози,"(59.697819, 30.105258)"
деревня Лампово,"(59.29164, 30.067888)"
деревня Шпаньково,"(59.497089, 29.843624)"
деревня Лаврики,"(60.074123, 30.448406)"
посёлок Сумино,"(59.47253, 29.48295)"
посёлок Возрождение,"(60.860716, 28.963949)"
деревня Старосиверская,"(59.369476, 30.086115)"
посёлок Кикерино,"(59.462006, 29.630741)"
поселок Возрождение,"(60.860716, 28.963949)"
деревня Старое Хинколово,"(59.469014, 29.915615)"
посёлок Пригородный,"(51.767324, 55.282385)"
посёлок Торфяное,"(60.847097, 29.940291)"
городской посёлок Будогощь,"(59.285569, 32.446133)"
поселок Суходолье,"(60.71436, 30.03333)"
поселок Красная Долина,"(60.359157, 28.988131)"
деревня Хапо-Ое,"(59.884672, 30.744562)"
поселок городского типа Дружная Горка,"(59.281717, 30.122308)"
деревня Яльгелево,"(59.728139, 29.942609)"
посёлок Стеклянный,"(60.385144, 30.238891)"
село Рождествено,"(55.857078, 37.04213)"
деревня Старополье,"(59.043834, 28.590321)"
деревня Сяськелево,"(59.551168, 29.843237)"
деревня Камышовка,"(60.431967, 29.064713)"
садоводческое некоммерческое товарищество Лесная Поляна,"(57.073174, 65.563532)"
деревня Хязельки,"(59.937625, 30.685516)"
поселок Жилгородок,"(51.997463, 55.507378)"
посёлок городского типа Павлово,"(59.80826, 30.879282)"
деревня Ялгино,"(59.659513, 33.342059)"
Ломоносов,"(59.91074, 29.776466)"
поселок Новый Учхоз,"(59.54315, 29.935459)"
городской посёлок Рощино,"(60.256511, 29.6031)"
поселок Гончарово,"(60.70162, 28.939389)"
поселок Почап,"(58.806152, 30.377295)"
посёлок Сапёрное,"(60.713035, 29.962606)"
посёлок Платформа 69-й километр,"(60.509943, 30.229809)"
поселок Каложицы,"(59.424885, 29.040719)"
деревня Фалилеево,"(59.537739, 28.933415)"
деревня Пельгора,"(59.448601, 31.242929)"
