total_images,last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,city_centers_nearest,parks_around3000,ponds_around3000,airports_around30000,publishing_year,publishing_month,is_spb
0,10018000.0,82.0,3,2.65,23,47.0,9,False,False,False,13.0,1,13255.0,1,1,True,2015,1,True
12,4370000.0,55.0,3,2.65,2,38.0,2,False,False,False,5.0,1,23111.0,0,1,True,2015,1,True
6,4500000.0,46.0,1,2.8,22,18.0,18,False,False,False,12.0,2,14772.0,0,1,False,2015,1,True
0,3500000.0,41.0,1,2.7,10,20.0,4,False,False,False,11.0,0,13096.5,0,0,False,2015,1,False
4,4100000.0,52.21,2,2.75,25,29.22,13,False,False,False,8.32,0,13096.5,0,0,False,2015,1,False
4,2650000.0,38.0,1,2.6,5,17.0,5,False,False,False,9.0,2,13096.5,0,0,False,2015,1,False
18,14999000.0,78.7,2,3.55,5,40.0,2,False,False,False,13.6,0,3888.0,1,1,True,2015,1,True
5,2650000.0,58.7,3,2.5,5,35.8,1,False,False,False,7.7,0,13096.5,0,0,False,2015,1,False
9,3300000.0,33.0,1,2.65,14,18.0,3,False,False,False,8.0,0,12966.0,0,0,False,2015,1,True
8,8100000.0,73.0,2,3.4,6,45.0,3,False,False,False,14.0,0,4301.0,1,1,True,2015,1,True
0,3870000.0,32.0,1,2.65,5,18.5,3,False,False,False,7.0,0,7748.0,2,2,True,2015,1,True
4,3850000.0,32.0,1,2.65,9,15.6,6,False,False,False,8.0,0,11336.0,1,1,True,2015,1,True
2,5450000.0,56.0,2,2.65,5,35.0,3,False,False,False,9.1,0,10797.0,2,0,True,2015,1,True
4,4100000.0,58.0,2,2.65,25,31.0,2,False,False,False,10.3,2,13096.5,0,0,False,2015,1,False
2,6329970.0,34.55,1,2.8,12,13.62,12,False,False,False,12.55,2,4096.0,0,1,True,2015,1,True
16,12900000.0,95.7,4,2.83,5,73.9,2,False,False,False,9.0,0,5964.0,3,2,True,2015,1,True
5,6681000.0,66.81,1,2.65,23,27.57,22,False,False,False,27.57,0,14640.0,0,1,False,2015,1,True
7,1500000.0,54.0,2,2.55,3,31.0,2,False,False,False,9.0,2,13096.5,0,0,False,2015,1,False
8,5100000.0,60.0,2,2.65,9,31.0,6,False,False,False,9.0,2,16747.0,0,0,False,2015,1,True
14,6550000.0,60.0,3,2.55,5,38.4,4,False,False,False,8.9,2,25887.0,0,0,True,2015,1,False
12,3750000.0,56.0,3,2.5,5,38.0,1,False,False,False,5.3,0,31275.0,3,3,False,2015,1,False
4,3650000.0,43.0,2,2.65,5,30.0,4,False,False,False,6.0,1,9940.0,0,1,True,2015,1,True
14,5550000.0,76.0,3,3.08,6,54.0,5,False,False,False,9.0,0,3927.0,0,1,True,2015,1,True
20,11970000.0,120.6,6,3.46,6,82.3,3,False,False,False,9.0,0,3602.0,1,1,True,2015,1,True
4,32524000.0,129.1,3,2.8,8,64.2,3,False,False,False,24.5,0,5964.0,3,2,True,2015,1,True
0,3350000.0,51.0,2,2.5,12,30.0,10,False,False,True,9.1,2,13096.5,0,0,False,2015,1,False
7,8700000.0,102.0,4,3.0,4,63.0,2,False,False,False,11.0,0,1542.0,0,2,True,2015,1,True
12,10800000.0,108.0,4,3.8,5,79.7,5,False,False,False,9.5,0,4308.0,2,0,True,2015,1,True
10,6950000.0,75.0,2,2.87,4,47.0,3,False,False,False,7.0,0,3873.0,0,0,True,2015,1,True
4,6300000.0,70.1,2,2.66,17,40.7,17,False,False,False,10.7,2,15108.0,1,3,False,2015,1,True
19,19000000.0,113.0,3,3.0,7,54.0,3,False,False,False,28.7,0,5063.0,2,2,False,2015,1,True
12,5800000.0,72.1,3,2.82,3,43.6,3,False,False,False,11.0,0,3360.0,2,3,True,2015,1,True
10,2850000.0,64.1,3,2.5,5,43.9,1,False,False,False,8.8,0,13096.5,0,0,False,2015,1,False
7,7900000.0,52.0,2,2.65,5,15.0,5,False,False,False,25.0,0,5129.0,0,1,True,2015,1,True
6,12500000.0,82.5,2,3.3,6,44.0,1,False,False,False,10.4,0,3465.0,2,1,True,2015,1,True
2,8200000.0,72.3,3,2.9,4,49.0,4,False,False,False,15.0,0,1308.0,3,3,True,2015,1,True
2,13700000.0,91.0,4,3.6,4,65.0,2,False,False,False,7.0,0,1328.0,3,3,True,2015,1,True
13,2950000.0,59.7,3,2.65,5,45.0,1,False,False,False,6.0,0,13096.5,0,0,False,2015,1,False
13,1150000.0,57.1,2,2.65,5,31.2,5,False,False,False,9.1,1,13096.5,0,0,False,2015,1,False
18,25000000.0,115.0,4,3.8,5,87.0,3,False,False,False,9.0,0,1285.0,3,3,True,2015,1,True
11,16500000.0,67.5,2,3.2,3,44.6,1,False,False,False,8.3,0,1327.0,1,2,True,2015,1,True
20,2700000.0,40.1,1,2.6,5,18.2,1,False,False,False,8.4,2,39863.0,0,0,False,2015,1,False
6,5390000.0,54.0,2,2.5,17,29.0,14,False,False,False,8.5,2,17004.0,1,0,True,2015,1,True
3,3500000.0,44.2,2,2.65,5,28.0,5,False,False,False,5.1,1,17648.0,1,0,True,2015,1,True
8,2850000.0,42.5,1,2.6,10,17.0,10,False,False,False,10.0,2,13096.5,0,0,False,2015,1,False
5,8350000.0,132.0,4,2.65,4,80.0,2,False,False,False,19.0,1,13096.5,0,0,False,2015,1,False
15,10150000.0,114.0,4,2.65,5,90.2,4,False,False,False,16.0,0,4961.0,0,2,True,2015,1,True
6,2850000.0,40.0,1,2.6,10,19.0,8,False,False,False,9.0,2,13096.5,0,0,False,2015,1,False
7,2900000.0,35.0,1,2.7,17,16.1,17,False,False,False,8.3,2,13096.5,0,0,False,2015,2,False
15,4250000.0,56.9,3,2.65,9,38.8,8,False,False,False,6.2,2,12943.0,0,0,False,2015,2,True
12,3350000.0,37.0,1,2.55,6,17.8,6,False,False,False,8.4,0,34044.0,1,1,False,2015,2,False
10,8100000.0,70.8,3,2.84,7,49.5,4,False,False,False,8.6,0,4358.0,2,0,True,2015,2,True
7,3640000.0,35.6,1,2.7,21,14.3,16,False,False,False,9.5,1,16527.0,0,2,True,2015,2,True
8,2730000.0,44.0,2,2.55,5,27.6,5,False,False,False,6.3,1,29798.0,0,0,True,2015,2,False
20,22950000.0,138.0,4,3.5,5,30.0,2,False,False,False,9.1,0,4281.0,1,0,True,2015,2,True
10,1950000.0,62.0,3,2.65,5,30.0,5,False,False,False,9.1,0,13096.5,0,0,False,2015,2,False
7,4500000.0,52.0,1,2.65,4,25.4,1,False,False,False,11.6,0,33201.0,3,3,True,2015,2,False
8,4650000.0,51.0,2,2.65,16,27.0,1,False,False,False,10.3,0,15987.0,1,0,True,2015,2,True
3,10090000.0,71.9,2,2.65,10,34.1,9,False,False,False,16.8,2,5294.0,0,1,True,2015,2,True
12,19000000.0,87.0,3,2.65,22,52.0,4,False,False,False,10.0,2,8871.0,1,3,True,2015,2,True
9,6300000.0,66.0,3,3.1,5,42.0,1,False,False,False,11.0,0,1090.0,3,3,True,2015,2,True
